ref_cell_index,morph_hit_cell,abs_distance,signed_distance,sign_dir,center_x,center_y,center_z,normal_x,normal_y,normal_z,hit_x,hit_y,hit_z
100,90576,19.323164278716444,-19.323164278716444,-1,-28.958253333333335,-80.0239,610.3601000000001,-0.9339874,-0.30736995,0.18218471,-10.91066,-74.08454,606.8397
200,79529,6.882215183584744,6.882215183584744,1,-115.90683333333334,24.366233333333334,537.8094666666667,-0.82220405,0.5437655,-0.16822484,-121.56542,28.108547,536.65173
300,80427,21.82534316137841,-21.82534316137841,-1,2.5437673333333337,90.75321333333333,605.5571333333335,0.4212318,0.8789241,-0.22373255,-6.64976,71.5704,610.4402
400,91192,2.6373917497799844,2.6373917497799844,1,-125.62899999999999,-14.47151,577.0423000000001,-0.5505849,-0.83376193,-0.041199885,-127.08111,-16.670467,576.93365
500,85354,13.095217191968986,13.095217191968986,1,-113.12016666666666,-12.098166666666668,610.6026333333334,-0.7203688,-0.6819758,0.12640348,-122.55355,-21.028786,612.25793
600,85379,8.623724690147203,8.623724690147203,1,-100.39186333333335,-48.396373333333344,618.6428000000001,-0.68239284,-0.65434754,-0.3258364,-106.276634,-54.039288,615.8329
700,85583,4.90660369798174,4.90660369798174,1,-115.98673333333335,-25.891703333333332,542.7941333333333,-0.83177435,-0.5294822,-0.16673373,-120.06792,-28.48966,541.976
800,87999,7.182312058950828,7.182312058950828,1,65.81296666666667,-49.81978333333333,621.1885000000001,0.7820734,-0.60579145,-0.14621232,71.43006,-54.17077,620.13837
900,86336,6.863021822057671,6.863021822057671,1,37.70221000000001,-64.82538000000001,679.1369666666667,0.45088536,-0.822164,0.34748927,40.796646,-70.46791,681.5218
1000,88535,6.986083373278057,-6.986083373278057,-1,-17.71074,-81.38338666666667,603.8350666666668,-0.3538316,-0.9014695,-0.24931087,-15.238844,-75.08565,605.5768
